,Provedor,Estado,Longitude,Latitude
16703,TIM,PA,-1.2904166666667,-48.155166666667
16704,TIM,PA,-6.07,-50.0625
16705,TIM,PA,-1.6835,-50.479805555556
16706,TIM,PA,-6.0670694444444,-49.895944444444
16708,TIM,PA,-1.070667,-48.392361
16709,TIM,PA,-1.619722,-47.48275
17286,TIM,PA,-1.9846944,-48.9553611
17776,TIM,PA,-4.266861,-55.992444
17782,TIM,PA,-1.9129916666667,-55.517216666667
17783,TIM,PA,-1.757639,-55.859306
17786,TIM,PA,-1.4712222222222,-56.381
17787,TIM,PA,-1.6795833333333,-56.412555555556
17789,TIM,PA,-0.66001111111111,-47.282047222222
17792,TIM,PA,-3.7473611111111,-47.497047222222
18124,Vivo,PA,-1.4933333333333,-48.706944444444
18912,Vivo,PA,-6.10361,-49.34944
19619,TIM,PA,-1.3994722222222,-48.422777777778
19623,TIM,PA,-4.7859527777778,-48.072319444444
19625,TIM,PA,-0.86361111111111,-52.536666666667
19633,TIM,PA,-2.0501666666667,-47.553694444444
19634,TIM,PA,-4.4459805555556,-49.116355555556
19639,TIM,PA,-3.8621944444444,-49.096388888889
19640,TIM,PA,-8.2623583333333,-49.265108333333
19641,TIM,PA,-6.50972,-49.8525
20720,TIM,PA,-1.433944,-48.465111
20721,TIM,PA,-1.3600555555556,-48.260611111111
20722,TIM,PA,-1.7486027777778,-47.060722222222
20723,TIM,PA,-1.551292,-47.116828
20727,TIM,PA,-1.3956555555556,-48.418711111111
20733,TIM,PA,-1.412417,-48.439944
20734,TIM,PA,-1.4515833333333,-48.489138888889
20737,TIM,PA,-1.30161,-48.31019
20741,TIM,PA,-1.565861,-48.766583
21623,Vivo,PA,-6.81538,-50.491627777778
21636,Vivo,PA,-1.88901,-55.11049
21637,Vivo,PA,-0.72361,-47.855
21639,Vivo,PA,-1.67959,-56.41264
21640,Vivo,PA,-4.91944,-49.08667
21641,Vivo,PA,-1.91269,-55.51771
21642,Vivo,PA,-1.75806,-55.85833
21643,Vivo,PA,-6.74479,-51.06943
21644,Vivo,PA,-1.47083,-56.38083
21646,Vivo,PA,-2.1060666666667,-56.491530555556
21647,Vivo,PA,-6.7533888888889,-51.154666666667
21797,TIM,PA,-6.0578888888889,-50.157472222222
21818,TIM,PA,-1.4002777777778,-48.490638888889
22054,Vivo,PA,-1.41722,-48.4925
22209,Vivo,PA,-6.93778,-49.70111
22211,Vivo,PA,-5.19972,-49.04306
22459,Vivo,PA,-1.15056,-48.13944
22471,Vivo,PA,-0.74583,-48.02111
22496,Vivo,PA,-1.68694,-47.765
22708,Vivo,PA,-9.33611,-50.34056
22710,Vivo,PA,-6.0697222222222,-50.0625
22712,Vivo,PA,-5.4176194444444,-49.091580555556
22714,Vivo,PA,-3.74722,-47.49694
22715,Vivo,PA,-1.1263888888889,-47.625277777778
22720,Vivo,PA,-1.74083,-47.05917
22721,Vivo,PA,-2.0541666666667,-47.544444444444
22722,Vivo,PA,-1.29417,-47.89222
22759,Vivo,PA,-5.34916,-49.13444
22760,Vivo,PA,-5.53715,-48.7252
22811,Vivo,PA,-6.0578888888889,-50.157472222222
23445,TIM,PA,-2.5065833333333,-54.953
23446,TIM,PA,-1.40725,-48.428361
23447,TIM,PA,-1.336583,-48.384603
23448,TIM,PA,-1.366972,-48.42775
23452,TIM,PA,-1.45056,-48.47444
23453,TIM,PA,-1.2943611111111,-47.892361111111
23455,TIM,PA,-5.2105305555556,-49.043066666667
23463,TIM,PA,-2.44333,-54.70472
23563,TIM,PA,-1.448306,-48.482861
24450,TIM,PA,-1.400178,-48.432319
24717,TIM,PA,-1.43025,-48.448167
25136,Vivo,PA,-1.44028,-48.48528
25334,Vivo,PA,-3.71722,-53.73614
25387,TIM,PA,-1.439444,-48.487333
25388,TIM,PA,-1.450694,-48.495028
25389,TIM,PA,-2.58525,-49.5059166
25390,TIM,PA,-4.244111,-49.944556
25391,TIM,PA,-1.9331666666667,-50.8195
25392,TIM,PA,-1.30694,-48.03944
25393,TIM,PA,-1.303833,-47.77975
25394,TIM,PA,-1.322694,-47.678417
25395,TIM,PA,-1.1976111111111,-47.377916666667
25396,TIM,PA,-0.907822,-47.242728
25399,TIM,PA,-2.417806,-48.152472
25699,TIM,PA,-6.7475,-51.08194
25700,TIM,PA,-6.75333,-51.15444
25717,Vivo,PA,-2.0002777777778,-54.073055555556
26026,TIM,PA,-1.437472,-48.457889
26162,TIM,PA,-2.154167,-56.091389
26163,TIM,PA,-1.458436,-48.504822
26362,TIM,PA,-1.4575,-48.457222
26363,TIM,PA,-1.466667,-48.480556
26558,Vivo,PA,-1.45,-48.48556
26559,TIM,PA,-1.45885,-48.4853
26563,Vivo,PA,-1.4541666666667,-48.485555555556
26565,TIM,PA,-1.2783333333333,-47.923888888889
26630,Vivo,PA,-2.15944,-56.08833
26631,Vivo,PA,-1.89583,-49.38556
26632,Vivo,PA,-1.41925,-48.443944444444
26649,Vivo,PA,-2.8306388888889,-47.91675
26981,Vivo,PA,-1.80833,-49.7925
27057,Vivo,PA,-1.4625555555556,-48.50225
27164,TIM,PA,-1.438611,-48.480472
27244,Vivo,PA,-2.4170555555556,-54.712027777778
27288,TIM,PA,-1.4483611111111,-48.470833333333
27421,Vivo,PA,-5.33556,-49.09861
27422,Vivo,PA,-8.0413055555556,-50.041888888889
27423,Vivo,PA,-2.4479166666667,-54.752638888889
27443,TIM,PA,-1.4500277777778,-48.485638888889
27447,TIM,PA,-1.4589027777778,-48.495713888889
27457,TIM,PA,-6.06444,-49.9075
27458,TIM,PA,-6.6433055555556,-51.991555555556
27461,TIM,PA,-1.442528,-48.486139
27774,TIM,PA,-1.3911944444444,-48.421027777778
27801,Vivo,PA,-5.3834444444444,-49.135416666667
27820,TIM,PA,-6.815278,-50.491417
27979,Vivo,PA,-1.4069722222222,-48.445444444444
27981,Vivo,PA,-1.3632777777778,-48.266722222222
27982,Vivo,PA,-1.4548888888889,-48.449444444444
27983,Vivo,PA,-1.3133888888889,-48.458694444444
28165,TIM,PA,-1.361278,-48.402
28167,TIM,PA,-1.428611,-48.463889
28171,TIM,PA,-1.452111,-48.50175
28174,TIM,PA,-1.3049444444444,-47.938305555556
28178,TIM,PA,-5.34389,-49.08139
28194,TIM,PA,-1.371667,-48.329722
28195,TIM,PA,-2.4193888888889,-48.242722222222
28197,TIM,PA,-3.763972,-49.682167
28389,Vivo,PA,-1.3675,-48.402166666667
28392,Vivo,PA,-1.3711083333333,-48.4194
28395,Vivo,PA,-2.4440277777778,-54.704666666667
28396,Vivo,PA,-5.34889,-49.10861
28397,Vivo,PA,-1.4330555555556,-48.470277777778
28442,Vivo,PA,-1.4455555555556,-48.426388888889
28444,Vivo,PA,-1.1641666666667,-48.470833333333
28446,Vivo,PA,-1.3645305555556,-48.4689
28447,Vivo,PA,-2.47603,-54.6845
28469,TIM,PA,-1.433056,-48.470278
28470,TIM,PA,-1.4545472222222,-48.485933333333
28561,TIM,PA,-1.364611,-48.309722
28562,TIM,PA,-6.08556,-49.88833
28564,TIM,PA,-2.9916111111111,-47.376111111111
28588,TIM,PA,-1.4552777777778,-48.4625
28590,TIM,PA,-1.4937833333333,-48.708452777778
28643,Vivo,PA,-2.4316694444444,-54.7328
28648,Vivo,PA,-1.33695,-48.384738888889
28730,TIM,PA,-7.3131111111111,-50.048
28748,Vivo,PA,-1.45444,-48.47306
28781,Vivo,PA,-1.45861,-48.49361
29104,TIM,PA,-1.429889,-48.488417
29105,TIM,PA,-8.0358333333333,-50.019444444444
29122,TIM,PA,-1.7261111111111,-48.874166666667
29155,TIM,PA,-2.43917,-54.71806
29156,TIM,PA,-7.033389,-55.416667
29316,TIM,PA,-1.464444,-48.490222
29524,TIM,PA,-1.52775,-48.677556
29526,TIM,PA,-1.4581583333333,-48.478433333333
29531,TIM,PA,-1.448056,-48.4875
29548,Claro,PA,-1.4625,-48.50077
29549,Claro,PA,-1.3507,-48.41943
29550,Claro,PA,-1.4003388888889,-48.49065
29551,Claro,PA,-1.46312,-48.47894
29553,Claro,PA,-1.37194,-48.4792
29556,Claro,PA,-1.33022,-48.47576
29558,Claro,PA,-1.396383,-48.434581
29559,Claro,PA,-1.42683,-48.45574
29568,Claro,PA,-1.27745,-48.47397
29573,Claro,PA,-1.45019,-48.48836
29577,Claro,PA,-1.44044,-48.4854
29580,Claro,PA,-1.37167,-48.3297
29581,Claro,PA,-1.40369,-48.432
29585,Claro,PA,-1.45433,-48.48589
29586,Claro,PA,-1.45919,-48.49633
29588,Claro,PA,-1.43172,-48.44692
29589,Claro,PA,-1.38005,-48.42637
29591,Claro,PA,-1.46667,-48.4681
29592,Claro,PA,-1.36696,-48.42792
29628,Claro,PA,-1.38494,-48.40733
29751,Claro,PA,-1.365833,-48.375556
29752,Claro,PA,-1.3691666666667,1901.01694444
29753,Claro,PA,-1.36517,-48.41165
29755,Claro,PA,-1.39124,-48.42112
29756,Claro,PA,-1.39944,-48.42278
29757,Claro,PA,-1.46651,-48.49726
29758,Claro,PA,-1.45722,-48.50472
29759,Claro,PA,-1.46556,-48.48667
29761,Claro,PA,-1.46143,-48.47064
29762,Claro,PA,-1.44639,-48.49444
29763,Claro,PA,-1.44694,-48.47781
29764,Claro,PA,-1.45242,-48.46722
29765,Claro,PA,-1.435,-48.47333
29767,Claro,PA,-1.43,-48.48306
29768,Claro,PA,-1.43944,-48.465558333333
29770,Claro,PA,-1.437778,-48.457778
29771,Claro,PA,-1.4280194444444,-48.461619444444
29772,Claro,PA,-1.42306,-48.46832
29780,Claro,PA,-1.419162,-48.477336
29781,Claro,PA,-1.413056,-48.468056
29782,Claro,PA,-1.4179888888889,-48.44876
29783,Claro,PA,-1.4086,-48.44083
29785,Claro,PA,-1.40785,-48.42759
29786,Claro,PA,-1.39944,-48.4744
29787,Claro,PA,-1.384603,-48.458991
29788,Claro,PA,-1.37885,-48.43845
29789,Claro,PA,-1.361944,-48.446111
29790,Claro,PA,-1.3475,-48.4577777777778
